country,regiune,child_mort,exports,health,imports,income,inflation,life_expec,total_fer,gdpp
Afghanistan,asia,90.2,10,7.58,44.9,1610,9.44,56.2,5.82,553
Algeria,af,27.3,38.4,4.17,31.4,12900,16.1,76.5,2.89,4460
Angola,af,119,62.3,2.85,42.9,5900,22.4,60.1,6.16,3530
Argentina,as,14.5,18.9,8.1,16,18700,20.9,75.8,2.37,10300
Austria,e,4.3,51.3,11,47.8,43200,0.873,80.5,1.44,46900
Bangladesh,asia,49.4,16,3.52,21.8,2440,7.14,70.4,2.33,758
Belgium,e,4.5,76.4,10.7,74.7,41100,1.88,80,1.86,44400
Bolivia,as,46.6,41.2,4.84,34.3,5410,8.78,71.6,3.2,1980
Brazil,as,19.8,10.7,9.01,11.8,14500,8.41,74.2,1.8,11200
Bulgaria,e,10.8,50.2,6.87,53,15300,1.11,73.9,1.57,6840
Cambodia,af,44.4,54.1,5.68,59.5,2520,3.12,66.1,2.88,786
Canada,an,5.6,29.1,11.3,31,40700,2.87,81.3,1.63,47400
Chile,as,8.7,37.7,7.96,31.3,19400,8.96,79.1,1.88,12900
China,asia,15.7,26.3,5.07,22.6,9530,6.94,74.6,1.59,4560
Colombia,as,18.6,15.9,7.59,17.8,10900,3.86,76.4,2.01,6250
Costa Rica,as,10.2,33.2,10.9,35,13000,6.57,80.4,1.92,8200
Croatia,e,5.5,37.6,7.76,38.1,20100,0.821,76.3,1.55,13500
Cyprus,e,3.6,50.2,5.97,57.5,33900,2.01,79.9,1.42,30800
Czech Republic,e,3.4,66,7.88,62.9,28300,-1.43,77.5,1.51,19800
Denmark,e,4.1,50.5,11.4,43.6,44000,3.22,79.5,1.87,58000
Ecuador,as,25.1,27.9,8.06,32.4,9350,7.47,76.7,2.66,4660
Egypt,af,29.1,21.3,4.66,26.6,9860,10.1,70.5,3.19,2600
Estonia,e,4.5,75.1,6.03,68.7,22700,1.74,76,1.72,14600
Finland,e,3,38.7,8.95,37.4,39800,0.351,80,1.87,46200
France,e,4.2,26.8,11.9,28.1,36900,1.05,81.4,2.03,40600
Germany,e,4.2,42.3,11.6,37.1,40400,0.758,80.1,1.39,41800
Ghana,af,74.7,29.5,5.22,45.9,3060,16.6,62.2,4.27,1310
Greece,e,3.9,22.1,10.3,30.7,28700,0.673,80.4,1.48,26900
Ireland,e,4.2,103,9.19,86.5,45700,-3.22,80.4,2.05,48700
Israel,asia,4.6,35,7.63,32.9,29600,1.77,81.4,3.03,30600
Italy,e,4,25.2,9.53,27.2,36200,0.319,81.7,1.46,35800
Jamaica,an,18.1,31.3,4.81,49.6,8000,9.81,74.7,2.17,4680
Jordan,asia,21.1,48.3,8.04,69,9470,8.43,75.8,3.66,3680
Kazakhstan,asia,21.5,44.2,4.29,29.9,20100,19.5,68.4,2.6,9070
Kenya,af,62.2,20.7,4.75,33.6,2480,2.09,62.8,4.37,967
Latvia,e,7.8,53.7,6.68,55.1,18300,-0.812,73.1,1.36,11300
Lithuania,e,6.1,65.3,7.04,67.2,21100,2.38,73.2,1.5,12000
Luxembourg,e,2.8,175,7.77,142,91700,3.62,81.3,1.63,105000
Malta,e,6.8,153,8.65,154,28300,3.83,80.3,1.36,21100
Moldova,e,17.2,39.2,11.7,78.5,3910,11.1,69.7,1.27,1630
Mongolia,asia,26.1,46.7,5.44,56.7,7710,39.2,66.2,2.64,2650
Montenegro,e,6.8,37,9.11,62.7,14000,1.6,76.4,1.77,6680
Morocco,af,33.5,32.2,5.2,43,6440,0.976,73.5,2.58,2830
Mozambique,af,101,31.5,5.21,46.2,918,7.64,54.5,5.56,419
Nepal,asia,47,9.58,5.25,36.4,1990,15.1,68.3,2.61,592
Netherlands,e,4.5,72,11.9,63.6,45500,0.848,80.7,1.79,50300
Niger,af,123,22.2,5.16,49.1,814,2.55,58.8,7.49,348
Norway,e,3.2,39.7,9.48,28.5,62300,5.95,81,1.95,87800
Pakistan,asia,92.1,13.5,2.2,19.4,4280,10.9,65.3,3.85,1040
Paraguay,as,24.1,55.1,5.87,51.5,7290,6.1,74.1,2.73,3230
Peru,as,20.3,27.8,5.08,23.8,9960,5.71,77.9,2.54,5020
Poland,e,6,40.1,7.46,42.1,21800,1.66,76.3,1.41,12600
Portugal,e,3.9,29.9,11,37.4,27200,0.643,79.8,1.39,22500
Romania,e,11.5,32.6,5.58,38.8,17800,3.53,73.7,1.59,8230
Russia,asia,10,29.2,5.08,21.1,23100,14.2,69.2,1.57,10700
Senegal,af,66.8,24.9,5.66,40.3,2180,1.85,64,5.06,1000
Serbia,e,7.6,32.9,10.4,47.9,12700,5.88,74.7,1.4,5410
Singapore,asia,2.8,200,3.96,174,72100,-0.046,82.7,1.15,46600
Slovak Republic,e,7,76.3,8.79,77.8,25200,0.485,75.5,1.43,16600
Slovenia,e,3.2,64.3,9.41,62.9,28700,-0.987,79.5,1.57,23400
South Africa,af,53.7,28.6,8.94,27.4,12000,6.35,54.3,2.59,7280
South Korea,asia,4.1,49.4,6.93,46.2,30400,3.16,80.1,1.23,22100
Spain,e,3.8,25.5,9.54,26.8,32500,0.16,81.9,1.37,30700
Sudan,af,76.7,19.7,6.32,17.2,3370,19.6,66.3,4.88,1480
Sweden,e,3,46.2,9.63,40.7,42900,0.991,81.5,1.98,52100
Tanzania,af,71.9,18.7,6.01,29.1,2090,9.25,59.3,5.43,702
Thailand,asia,14.9,66.5,3.88,60.8,13500,4.08,76.6,1.55,5080
Uganda,af,81,17.1,9.01,28.6,1540,10.6,56.8,6.15,595
Ukraine,e,11.7,47.1,7.72,51.1,7820,13.4,70.4,1.44,2970
United Arab Emirates,asia,8.6,77.7,3.66,63.6,57600,12.5,76.5,1.87,35000
United Kingdom,e,5.2,28.2,9.64,30.8,36200,1.57,80.3,1.92,38900
United States,an,7.3,12.4,17.9,15.8,49400,1.22,78.7,1.93,48400
Uruguay,as,10.6,26.3,8.35,25.4,17100,4.91,76.4,2.08,11900
Venezuela,as,17.1,28.5,4.91,17.6,16500,45.9,75.4,2.47,13500
Vietnam,asia,23.3,72,6.84,80.2,4490,12.1,73.1,1.95,1310
